年份,学校名称_链接,学校名称,院系名称_链接,院系名称,专业代码,专业名称_链接,专业名称,总分,政治__管综,外语,业务课_一,业务课_二
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9299/,历史学系,065100,http://yz.kaoyan365.cn/school/sysu/zhuanye/87700.html,文物与博物馆,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9280/,哲学系,010106,http://yz.kaoyan365.cn/school/sysu/zhuanye/87707.html,美学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,080103,http://yz.kaoyan365.cn/school/pku/zhuanye/87675.html,流体力学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,081203,http://yz.kaoyan365.cn/school/pku/zhuanye/87672.html,计算机应用技术,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,080102,http://yz.kaoyan365.cn/school/pku/zhuanye/87674.html,固体力学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,120100,http://yz.kaoyan365.cn/school/pku/zhuanye/87684.html,管理科学与工程,345,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,083100,http://yz.kaoyan365.cn/school/pku/zhuanye/87683.html,生物医学工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,0801Z6,http://yz.kaoyan365.cn/school/pku/zhuanye/87681.html,航空航天工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,080100,http://yz.kaoyan365.cn/school/pku/zhuanye/87678.html,力学系统与控制,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,081101,http://yz.kaoyan365.cn/school/pku/zhuanye/87682.html,控制理论与控制工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,0801Z1,http://yz.kaoyan365.cn/school/pku/zhuanye/87677.html,生物力学与医学工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,0812Z1,http://yz.kaoyan365.cn/school/pku/zhuanye/87673.html,智能科学与技术,320,50,50,90,90
